Material Family,Rate (mm/yr) or Rating,Rate (mils/yr) or Rating,UNS,Temperature (deg C),pH,Salinity (g/L),Humidity (%)
Austenitic,A (Resistant),A (Resistant),S31620,20,5.5,7.3,30.6
Austenitic,A (Resistant),A (Resistant),S31603,20,6.8,2.1,55.2
Austenitic,A (Resistant),A (Resistant),S31653,20,7.6,4.7,71.5
Austenitic,A (Resistant),A (Resistant),S31635,20,6.5,6.5,50.5
Austenitic,A (Resistant),A (Resistant),S31703,20,5.2,5.4,24.4
Austenitic,A (Resistant),A (Resistant),S31725,20,7.4,6.1,68
Austenitic,A (Resistant),A (Resistant),S32100,20,8.6,5.5,92.2
Austenitic,A (Resistant),A (Resistant),S34700,20,6.5,2,50.7
Duplex,A (Resistant),A (Resistant),S32900,20,5.9,4.1,37.3
Duplex,A (Resistant),A (Resistant),S31803,20,6.8,5.3,55.4
99.0% min Al,A (Resistant),A (Resistant),A91199,20-boiling point (68-boiling point),5.2,7.8,23.9
Aluminum-manganese,A (Resistant),A (Resistant),,20-boiling point (68-boiling point),8.3,6.5,85.6
Magnesium and alloys,A (Resistant),A (Resistant),,Room,8.3,4.3,86.1
Austenitic,A (Resistant),A (Resistant),S30100,20,7.4,9.7,67
Austenitic,A (Resistant),A (Resistant),S30200,20,6.4,1.1,48.2
Austenitic,A (Resistant),A (Resistant),S30300,20,8.2,2.1,84
Austenitic,A (Resistant),A (Resistant),S30300,20,7.2,3.4,64.4
Austenitic,A (Resistant),A (Resistant),S30400,20,8.3,2.3,86.1
Austenitic,A (Resistant),A (Resistant),S30403,20,7.5,6.3,70.5
Austenitic,A (Resistant),A (Resistant),S30453,20,8.1,0.4,82.8
Austenitic,A (Resistant),A (Resistant),S31600,20,7.4,1.8,67.9
Austenitic,A (Resistant),A (Resistant),S31620,20,6.7,2.9,53.1
Austenitic,A (Resistant),A (Resistant),S31603,20,8.8,6.8,96.6
Austenitic,A (Resistant),A (Resistant),S31653,20,7.2,8.8,63.3
Austenitic,A (Resistant),A (Resistant),S31635,20,7.4,8,68.4
Austenitic,A (Resistant),A (Resistant),S31703,20,5.9,1.8,37.6
Austenitic,A (Resistant),A (Resistant),S31725,20,7.5,5.7,70.1
Austenitic,A (Resistant),A (Resistant),S32100,20,7.3,0.3,65.7
Duplex,A (Resistant),A (Resistant),S31803,20,5.7,3.1,34.8
Ferritic,A (Resistant),A (Resistant),S40500,20,5.2,8.1,24.8
Ferritic,A (Resistant),A (Resistant),S40900,20,7.4,4.6,68.3
Ferritic,A (Resistant),A (Resistant),S43000,20,8.1,1.5,81.1
Ferritic,A (Resistant),A (Resistant),S43400,20,7.1,4.4,61.9
Martensitic,A (Resistant),A (Resistant),S40300,20,5.9,2,38.1
Martensitic,A (Resistant),A (Resistant),S41000,Room,7.7,3.9,73.3
Martensitic,A (Resistant),A (Resistant),S41000,20,5.3,4.9,26.4
Martensitic,A (Resistant),A (Resistant),S41600,20,6.8,3.5,55.3
Martensitic,A (Resistant),A (Resistant),S42000,20,5.7,9.4,33.1
Carbon steel,0.02 max,1 max,G10100,Room,1.1,5.6,34.8
Carbon steel,0.89,35,G10100,190,1.2,8.4,36.2
Copper,0.02 max,1 max,,Room,1.9,7.6,50.9
Copper,0.02 max,1 max,,190,0.7,6.6,24.1
Silicon bronze,0.02 max,1 max,,Room,1.9,5,51.8
Silicon bronze,0.02 max,1 max,,190,2.3,0,60.9
Austenitic,0.02 max,1 max,S30400,Room,2.2,6.1,58.7
Austenitic,0.2,8,S30400,190,1.8,3.6,50.6
Austenitic,0.02 max,1 max,S31600,Room,3.4,1.2,87.1
Austenitic,0.02 max,1 max,S31600,190,1,4.4,31.6
99.0 % min Al,A (Resistant),A (Resistant),A91199,650 max,7,7.4,60.5
Nickel-chromium-iron-molybdenum,0.003 max,0.1 max,N08825,,5.2,9.6,25
Nickel-chromium-iron-molybdenum,0.003,0.1,N08825,,5.3,3.7,25.7
Nickel-chromium-iron-molybdenum,0.01,0.4,N08825,49,7.3,5.4,65.9
Nickel-chromium-iron-molybdenum,0.003 max,0.1 max,N08825,71,7.3,8.5,65.3
Austenitic,0.028,1.1,S30400,204-482,8.5,3.3,90.2
Austenitic,0.005,0.2,S30400,215,7.2,1.4,64.6
Austenitic,0.003,0.1,S30400,66,8.8,2.8,96.8
Austenitic,0.01,0.4,S30400,43,5.2,9,23.9
Austenitic,0.003 max,0.1 max,S30400,,5.4,1.6,27.8
Austenitic,0.005,0.2,S30400,,5.2,3.3,23.5
Austenitic,0.028,1.1,S30400,49,5.7,4.6,34.8
Austenitic,0.008,0.3,S30400,71,7.2,8.5,63.3
Austenitic,0.003,0.1,S30400,24,7.6,9.4,71.6
Austenitic,0.12,4.7,S30400,Room,5.2,4.3,23.6
Austenitic,0.003,0.1,S30400,Room to 110 (230),8.8,9.3,95.7
Austenitic,0.025,1,S31600,204-482,8.4,1.6,87.4
Austenitic,0.005,0.2,S31600,215,6.2,1.6,43.7
Austenitic,0.003,0.1,S31600,66,5.3,9.5,26.2
Austenitic,0.013,0.5,S31600,43,5.7,5.1,33.6
Austenitic,0.003 max,0.1 max,S31600,,5.5,1.9,30.2
Austenitic,0.003,0.1,S31600,,5.5,4.9,29.9
Austenitic,0.003,0.1,S31600,49,7.1,7.8,61.5
Austenitic,0.003 max,0.1 max,S31600,71,6,8.3,39.7
Austenitic,0.003,0.1,S31600,24,6.4,8.6,48.7
Austenitic,0.12,4.6,S31600,Room,9,5.7,99.2
Austenitic,0.003,0.1,S31600,Room to 110 (230),7.7,8.7,74.7
Austenitic,0.018,0.7,S31700,204-482,8.8,5.1,95.9
Austenitic,0.003,0.1,S31700,215,5.6,6.1,31.4
Austenitic,0.003,0.1,S31700,66,6.5,7.6,50.6
Austenitic,0.003 max,0.1 max,S31700,,7.2,4.3,64.4
Austenitic,0.003,0.1,S31700,,5.3,0.7,26.1
Austenitic,0.003 max,0.1 max,S31700,49,5,3.5,20.3
Austenitic,0.003 max,0.1 max,,66,7.7,6.2,73.6
Austenitic,0.033,1.3,,43,7.6,1.9,71.3
Austenitic,0.003 max,0.1 max,,,6.6,1.5,52.9
Austenitic,0.003,0.1,,,7,2.9,59.2
Austenitic,0.003,0.1,,49,6.7,0.3,53.2
Austenitic,0.003 max,0.1 max,,71,5.1,7.4,21.9
Austenitic,0.003 max,0.1 max,,Room to 100 (230),6.3,2.6,46.8
Precipitation hardening,A (Resistant),A (Resistant),S36300,Room,5.7,1.2,34.2
Aluminum bronze,B (Good),B (Good),,,5.4,7,27.9
Aluminum bronze,0.5 max,20 max,C61300,,8.8,8.4,96.5
Brass,A (Resistant),A (Resistant),,,7.4,0.2,67.9
Brass,A (Resistant),A (Resistant),C26000,,7.9,2.3,78.3
Brass,B (Good),B (Good),C22000,,6.3,9.5,45.2
Brass,A (Resistant),A (Resistant),C28000,,6.6,3.9,51.5
Brass,B (Good),B (Good),C23000,,5.9,9.4,39
Copper,B (Good),B (Good),C11000,,5.4,2.7,27.8
Copper,B (Good),B (Good),C12200,,5.7,2.2,34.3
Copper-nickel,B (Good),B (Good),C71500,,8.2,2.1,83.8
Copper-nickel,B (Good),B (Good),C70600,,7.7,0.9,74.2
Leaded brass,A (Resistant),A (Resistant),C38500,,7.2,9,63.8
Leaded brass,A (Resistant),A (Resistant),C36000,,6.9,9.8,58
Nickel-silver,B (Good),B (Good),,,8.7,9.5,93.8
Phosphor bronze,B (Good),B (Good),C51000,,5.3,8.5,25.8
Phosphor bronze,B (Good),B (Good),C52100,,6.1,8.5,42.4
Silicon bronze,B (Good),B (Good),C65500,,6.4,6.6,48
Silicon bronze,B (Good),B (Good),C65100,,8.1,8.3,82.6
Tin brass,A (Resistant),A (Resistant),C44300,,9,2.1,99.4
Tin brass,A (Resistant),A (Resistant),C46400,,6,3.9,39.3
Magnesium and alloys,A (Resistant),A (Resistant),,Room,8.5,6.4,89.9
Noble metals,0.05 max,2 max,P04995,Boiling,8.3,8.7,86.4
99.0% min Al,A (Resistant),A (Resistant),A91350,20,5.9,6.6,38
99.0% min Al,A (Resistant),A (Resistant),A91199,20,6.6,8.4,51.9
Aluminum-manganese,A (Resistant),A (Resistant),,20,6.6,4.7,52.8
Carbon steel,3.3,132,,Room,8.9,7.2,98.3
Carbon steel,2.8,110,,Room,5.7,9.8,34.5
Carbon steel,2.5,98,,Room,8.2,1.5,83.9
Carbon steel,5.4,216,,95,6.3,9.3,46.7
Carbon steel,4.3,170,,95,7.9,5.2,78.5
Carbon steel,2.2,88,,95,6.7,6.4,53.6
Carbon steel,1.6,63,,Room,7.3,8.8,66.3
Carbon steel,0.4,17,,Room,8.3,4.1,86.6
Carbon steel,0.3,12,,Room,8.2,4.2,84.3
Carbon steel,4.5,180,,95,8.5,5.3,89.3
Carbon steel,0.6,26,,95,5.2,0.2,24.8
Carbon steel,0.01,0.5,,95,7.8,5,75.4
Carbon steel,3,121,,Room,5.6,2.9,31.2
Carbon steel,4.4,175,,Room,6.7,9.3,53.3
Carbon steel,2.4,96,,Room,7.2,0.9,63.9
Carbon steel,25,1000,,95,6.6,4.6,52.2
Carbon steel,8.2,328,,95,7.1,9.5,61.6
Carbon steel,1.3,50,,95,9,9,99.7
Carbon steel,5,200,,Room,5.5,7,30.8
Carbon steel,2.3,90,,Room,7.7,5.9,74
Carbon steel,3 min,120 min,,Room,6.6,2.8,51.7
Carbon steel,14,550,,95,5.5,3.7,30.6
Carbon steel,7.6,307,,95,5.6,0.9,32.7
Carbon steel,7,280,,95,8.8,7.9,95.9
Aluminum bronze,A (Resistant),A (Resistant),,,8.5,3.2,90.4
Aluminum bronze,B (Good),B (Good),,,8.6,6.7,92.6
Aluminum bronze,0.05 max,2 max,C61300,,9,3.6,99.3
Aluminum bronze,0.5 max,20 max,C61300,,5.8,4.6,36.7
Brass,A (Resistant),A (Resistant),,,6.4,5.6,48.4
Brass,B (Good),B (Good),,,7.7,8,73.5
Brass,A (Resistant),A (Resistant),C26000,,6.9,2.1,58.7
Brass,C (Questionable),C (Questionable),C26000,,6.7,4,53.5
Brass,A (Resistant),A (Resistant),C22000,,6.4,1.3,48.6
Brass,B (Good),B (Good),C22000,,7.4,0.8,67.5
Brass,A (Resistant),A (Resistant),C28000,,7.3,6,66
Brass,C (Questionable),C (Questionable),C28000,,5.6,1.9,32.9
Brass,A (Resistant),A (Resistant),C23000,,6.9,0.6,57.7
Brass,B (Good),B (Good),C23000,,7.2,9,64.3
Copper,A (Resistant),A (Resistant),C11000,,7.3,5.3,65.6
Copper,B (Good),B (Good),C11000,,5.8,1.3,36.8
Copper,A (Resistant),A (Resistant),C12200,,8,0.5,79.4
Copper,B (Good),B (Good),C12200,,5.1,1.2,22
Copper-nickel,A (Resistant),A (Resistant),C71500,,6.4,4.7,48.4
Copper-nickel,B (Good),B (Good),C71500,,8.1,6.7,82.4
Copper-nickel,A (Resistant),A (Resistant),C70600,,7.3,6.4,65.1
Copper-nickel,B (Good),B (Good),C70600,,6,1.4,40.9
Leaded brass,A (Resistant),A (Resistant),C38500,,7.8,6.3,75.6
Leaded brass,C (Questionable),C (Questionable),C38500,,7.3,4,65.4
Leaded brass,A (Resistant),A (Resistant),C36000,,8.2,4.6,83.7
Leaded brass,C (Questionable),C (Questionable),C36000,,7.9,8,78.8
Nickel-silver,A (Resistant),A (Resistant),,,7.4,3.3,68.8
Nickel-silver,B (Good),B (Good),,,7,1.5,59.1
Phosphor bronze,A (Resistant),A (Resistant),C51000,,5.5,8.7,30.7
Phosphor bronze,B (Good),B (Good),C51000,,6,2.1,40.9
Phosphor bronze,A (Resistant),A (Resistant),C52100,,6.7,2.9,53.5
Phosphor bronze,B (Good),B (Good),C52100,,7.4,7.1,67.9
Silicon bronze,A (Resistant),A (Resistant),C65500,,7.1,6.8,61.1
Silicon bronze,B (Good),B (Good),C65500,,6.2,8,43.1
Silicon bronze,A (Resistant),A (Resistant),C65100,,5,1.8,20.5
Silicon bronze,B (Good),B (Good),C65100,,7,3.5,59.7
Tin brass,A (Resistant),A (Resistant),C44300,,6.1,1.3,42.9
Tin brass,B (Good),B (Good),C44300,,7.9,5.4,78.8
Tin brass,A (Resistant),A (Resistant),C46400,,5.1,2.9,21.9
Tin brass,C (Questionable),C (Questionable),C46400,,7.3,6.9,66.8
Magnesium and alloys,A (Resistant),A (Resistant),,Room,8.8,0,95.3
Noble metals,0.05 max,2 max,P04995,1400,5.7,0.6,34
Noble metals,0.05 max,2 max,P07010,Room,6.9,4.3,57.7
Nickel-chromium-iron-molybdenum,0.033,1.3,N08825,150-200,5.4,9.6,27.3
Nickel-chromium-iron-molybdenum,0.05,2,N08825,40-45,7.5,8.9,70.1
Titanium and alloys,A (Resistant),A (Resistant),,,7.2,9.9,64
Austenitic,D (Poor),D (Poor),S31703,20,1.9,4.2,52.6
Austenitic,A (Resistant),A (Resistant),S30100,Hot,7.1,0.5,61.7
Austenitic,A (Resistant),A (Resistant),S30100,Hot,8.6,3.1,91.7
Austenitic,A (Resistant),A (Resistant),S30200,Hot,5.8,6.8,35.7
Austenitic,A (Resistant),A (Resistant),S30200,Hot,5.1,1.4,21.8
Austenitic,A (Resistant),A (Resistant),S30300,Hot,8.4,3,88.9
Austenitic,A (Resistant),A (Resistant),S30300,Hot,7.3,0.6,66.2
Austenitic,B (Good),B (Good),S30300,Hot,8.6,4.7,91.3
Austenitic,A (Resistant),A (Resistant),S30300,Hot,7.4,2.1,67.8
Austenitic,A (Resistant),A (Resistant),S30400,21,8.2,0.9,84.8
Austenitic,A (Resistant),A (Resistant),S30400,Hot,6.7,4.1,54.4
Austenitic,A (Resistant),A (Resistant),S30400,,8,3.5,80
Austenitic,A (Resistant),A (Resistant),S30400,Hot,8.7,5.4,93
Austenitic,0.003,0.1,S30400,113-116,7.3,7.5,65.8
Austenitic,0.003 max,0.1 max,S30400,43,5.7,1.1,34.5
Austenitic,0.003 max,0.1 max,S30400,66,6.1,7.9,41.5
Austenitic,0.003 max,0.1 max,S30400,66,5.8,0.3,35.9
Austenitic,A (Resistant),A (Resistant),S30403,Hot,6,4.4,39.7
Austenitic,A (Resistant),A (Resistant),S30403,Hot,6.2,5.9,44.5
Austenitic,A (Resistant),A (Resistant),S30453,Hot,7.2,9.6,64.4
Austenitic,A (Resistant),A (Resistant),S30453,Hot,7.4,5.7,67
Austenitic,A (Resistant),A (Resistant),S31600,21,6.7,1.6,54.1
Austenitic,A (Resistant),A (Resistant),S31600,Hot,7.5,5.2,69.2
Austenitic,A (Resistant),A (Resistant),S31600,Hot,5.3,4,26.5
Austenitic,0.05,2,S31600,113-116,5.4,4.8,27
Austenitic,D (Poor),D (Poor),S31725,20,1.1,2,33.7
Austenitic,0.003 max,0.1 max,S31600,43,7.1,5,61.4
Austenitic,0.006,2.2,S31600,150-200,5.9,1.5,37.1
Austenitic,0.003 max,0.1 max,S31600,66,6.1,7.4,42.7
Austenitic,0.03,1.2,S31600,40-45,6.6,5.9,52
Austenitic,A (Resistant),A (Resistant),S31620,Hot,8.2,0.8,84.9
Austenitic,A (Resistant),A (Resistant),S31620,Hot,5.1,8.9,21.1
Austenitic,A (Resistant),A (Resistant),S31603,Hot,7.6,6.2,72
Austenitic,A (Resistant),A (Resistant),S31603,Hot,7.7,3.2,73.5
Austenitic,A (Resistant),A (Resistant),S31653,Hot,8.2,0.5,83.9
Austenitic,A (Resistant),A (Resistant),S31653,Hot,8.7,6.3,94.6
Austenitic,A (Resistant),A (Resistant),S31635,Hot,5.1,3.7,21.6
Austenitic,A (Resistant),A (Resistant),S31635,Hot,5.6,9.1,32.3
Austenitic,0.003,0.1,S31700,113-116,8.5,0.3,90.9
Austenitic,0.003 max,0.1 max,S31700,43,6.8,0.4,56.7
Austenitic,0.05,2,S31700,150-200,7.3,9.5,65.2
Austenitic,A (Resistant),A (Resistant),S31703,Hot,7.7,9.6,73
Austenitic,A (Resistant),A (Resistant),S31703,Hot,7.7,0.3,74.3
Austenitic,A (Resistant),A (Resistant),S31725,Hot,8.7,7.2,94.5
Austenitic,A (Resistant),A (Resistant),S31725,Hot,9,2.2,99.8
Austenitic,A (Resistant),A (Resistant),S32100,Hot,7.9,7,77.6
Austenitic,A (Resistant),A (Resistant),S32100,Hot,6.1,8.7,43
Austenitic,A (Resistant),A (Resistant),S34700,Hot,8.5,1,90.4
Austenitic,A (Resistant),A (Resistant),S34700,Hot,5.2,2.4,23.9
Austenitic,A (Resistant),A (Resistant),S30300,20,5.9,0.2,38.5
Austenitic,0.003 max,0.1 max,,43,8.6,0.4,91.8
Duplex,A (Resistant),A (Resistant),S32900,Hot,6,0.3,40.5
Duplex,A (Resistant),A (Resistant),S32900,Hot,5.9,8,37.7
Duplex,A (Resistant),A (Resistant),S31803,Hot,5.6,3,31.1
Duplex,A (Resistant),A (Resistant),S31803,Hot,8.4,4.9,88.7
Ferritic,A (Resistant),A (Resistant),S40500,Hot,7,7.9,60
Ferritic,B (Good),B (Good),S40500,Hot,7.7,4.9,74
Ferritic,A (Resistant),A (Resistant),S40900,Hot,6,4.3,39.1
Ferritic,B (Good),B (Good),S40900,Hot,8,0.1,80.6
Ferritic,A (Resistant),A (Resistant),S43000,21,8,5.7,80.8
Ferritic,A (Resistant),A (Resistant),S43000,Hot,6.3,1.2,45
Ferritic,B (Good),B (Good),S43000,Hot,6.6,7.6,52.9
Ferritic,A (Resistant),A (Resistant),S43400,Hot,5.8,2.6,36.8
Ferritic,A (Resistant),A (Resistant),S43400,Hot,8.9,6.7,98.1
Martensitic,A (Resistant),A (Resistant),S40300,Hot,7.6,6.5,71.6
Martensitic,B (Good),B (Good),S40300,Hot,8.7,6.2,94.8
Martensitic,A (Resistant),A (Resistant),S41000,21,6.2,2.7,44.3
Martensitic,A (Resistant),A (Resistant),S41000,Hot,8.1,2.7,82.6
Martensitic,B (Good),B (Good),S41000,Hot,8.1,8.6,81.3
Martensitic,A (Resistant),A (Resistant),S41600,Hot,7.8,0.1,75.3
Martensitic,B (Good),B (Good),S41600,Hot,8.9,1.8,97.3
Martensitic,A (Resistant),A (Resistant),S42000,Hot,6.6,6.1,51.5
Martensitic,B (Good),B (Good),S42000,Hot,5.5,8.2,30.5
Austenitic,A (Resistant),A (Resistant),S30100,20,7.7,3.6,73.7
Austenitic,A (Resistant),A (Resistant),S30200,20,7.9,6.5,78.3
Austenitic,A (Resistant),A (Resistant),S30300,20,7.3,5.6,66
Austenitic,A (Resistant),A (Resistant),S30400,20,5.8,0.6,36.5
Austenitic,A (Resistant),A (Resistant),S30403,20,7,6.2,60.4
Austenitic,A (Resistant),A (Resistant),S30453,20,6.2,8.1,45
Austenitic,A (Resistant),A (Resistant),S31600,20,6.7,9.9,54.2
Austenitic,A (Resistant),A (Resistant),S31620,20,7.6,0.3,71.6
Austenitic,A (Resistant),A (Resistant),S31603,20,8,6.6,79.6
Austenitic,A (Resistant),A (Resistant),S31653,20,5.9,4.1,38.6
Austenitic,A (Resistant),A (Resistant),S31635,20,6.6,0.1,52.4
Austenitic,A (Resistant),A (Resistant),S31703,20,6.1,6.1,41.5
Austenitic,A (Resistant),A (Resistant),S31725,20,5.8,1.2,35.9
Austenitic,A (Resistant),A (Resistant),S32100,20,8.1,3.8,82.7
Austenitic,A (Resistant),A (Resistant),S34700,20,8.6,2.6,92.7
Duplex,A (Resistant),A (Resistant),S32900,20,6.5,3.6,49.6
Duplex,A (Resistant),A (Resistant),S31803,20,8,4.9,80.1
Ferritic,A (Resistant),A (Resistant),S40500,20,8.6,3.6,91.8
Ferritic,A (Resistant),A (Resistant),S40900,20,8.4,5.5,87.7
Ferritic,A (Resistant),A (Resistant),S43000,20,5.7,2.4,34.6
Ferritic,A (Resistant),A (Resistant),S43400,20,8.8,6.4,96.5
Martensitic,A (Resistant),A (Resistant),S40300,20,6.5,8.5,50.1
Martensitic,A (Resistant),A (Resistant),S41000,20,6.4,2.2,47.1
Martensitic,A (Resistant),A (Resistant),S41600,20,5.2,5.1,25
Martensitic,A (Resistant),A (Resistant),S42000,20,6.9,6.5,58.9
99.0% min Al,A (Resistant),A (Resistant),A91199,500 max,5.4,5.6,28.7
Aluminum,A (Resistant),A (Resistant),,500 max,6,3.7,39.9
Magnesium and alloys,A (Resistant),A (Resistant),,Room,6.3,6.4,45.4
Noble metals,0.05 max,2 max,P04995,1400,8.2,0.3,84.7
Noble metals,0.05 max,2 max,P07010,300,8.5,3.7,90
Austenitic,B (Good),B (Good),S30400,200,6.2,5.3,44.2
99.0% min Al,A (Resistant),A (Resistant),A91199,20,8.4,0.2,88.7
Aluminum,A (Resistant),A (Resistant),,20,8.4,5.1,88.6
Aluminum bronze,A (Resistant),A (Resistant),,,8.1,6.5,81.2
Aluminum bronze,B (Good),B (Good),,,5.6,7.6,31.7
Aluminum bronze,0.5 max,20 max,C61300,,7.8,1.1,75.2
Brass,A (Resistant),A (Resistant),,,8.8,9.9,95.6
Brass,B (Good),B (Good),,,7.7,6.1,74.6
Brass,A (Resistant),A (Resistant),C26000,,6.3,3.6,46.5
Brass,D (Poor),D (Poor),C26000,,7,2.5,60
Brass,A (Resistant),A (Resistant),C22000,,7.6,5.7,71.7
Brass,B (Good),B (Good),C22000,,7,8.8,60.8
Brass,A (Resistant),A (Resistant),C28000,,5.5,5.2,29.6
Brass,D (Poor),D (Poor),C28000,,6.2,6.6,45
Brass,A (Resistant),A (Resistant),C23000,,8.2,3.6,84.2
Brass,B (Good),B (Good),C23000,,8.4,3.9,88.9
Copper,A (Resistant),A (Resistant),C11000,,5.5,2.9,31
Copper,B (Good),B (Good),C11000,,8.8,7.1,96.2
Copper,A (Resistant),A (Resistant),C12200,,6.3,3.6,46.3
Copper,B (Good),B (Good),C12200,,7.6,1.9,73
Copper-nickel,A (Resistant),A (Resistant),C71500,,8,3.7,80.1
Copper-nickel,A (Resistant),A (Resistant),C71500,,8.2,8.5,85
Copper-nickel,A (Resistant),A (Resistant),C70600,,8.8,7.4,95.7
Copper-nickel,B (Good),B (Good),C70600,,6.3,3.3,45
Austenitic,D (Poor),D (Poor),S31653,20,3.5,9.1,88.7
Leaded brass,A (Resistant),A (Resistant),C38500,,5.5,0.7,30.5
Leaded brass,D (Poor),D (Poor),C38500,,7.8,0.5,76.4
Leaded brass,A (Resistant),A (Resistant),C36000,,8,1.3,79.4
Leaded brass,D (Poor),D (Poor),C36000,,7.7,1.2,74.2
Nickel-silver,A (Resistant),A (Resistant),,,6,0.9,40.2
Nickel-silver,B (Good),B (Good),,,8.5,6.6,89.8
Phosphor bronze,A (Resistant),A (Resistant),C51000,,5.7,6,33.5
Phosphor bronze,B (Good),B (Good),C51000,,5.2,6.5,24.3
Phosphor bronze,A (Resistant),A (Resistant),C52100,,7.9,6.9,77.4
Phosphor bronze,B (Good),B (Good),C52100,,6.9,7.6,58
Silicon bronze,A (Resistant),A (Resistant),C65500,,8.4,2.1,87.9
Silicon bronze,B (Good),B (Good),C65500,,6.5,6.2,50.7
Silicon bronze,A (Resistant),A (Resistant),C65100,,5.7,5.8,33.5
Silicon bronze,B (Good),B (Good),C65100,,8.3,9.4,86.9
Tin brass,A (Resistant),A (Resistant),C44300,,7.2,2.3,63.9
Tin brass,B (Good),B (Good),C44300,,5.8,0.6,35.1
Tin brass,A (Resistant),A (Resistant),C46400,,7.9,6.5,77.6
Tin brass,D (Poor),D (Poor),C46400,,7,7.4,60.9
Magnesium and alloys,A (Resistant),A (Resistant),,Room,7.4,2.8,68.3
Noble metals,0.05 max,2 max,P04995,Boiling,6.8,5.7,56.9
Noble metals,0.05 max,2 max,P07010,Boiling,8.3,0.6,86.3
Titanium and alloys,0.003,0.12,,Boiling,8.3,9.6,86.4
Titanium and alloys,0.003,0.12,,Boiling,7.8,1.1,76.8
Titanium and alloys,0.005,0.2,,Boiling,5.4,0.7,28.4
Titanium and alloys,A (Resistant),A (Resistant),,Boiling,8.4,0.4,87.1
Titanium and alloys,A (Resistant),A (Resistant),,Boiling,7.7,4.3,73.7
Titanium and alloys,0.005,0.2,,25,7.8,1,75.8
Zirconium and alloys,0.13 max,5 max,R60702,Room to 100,6.5,7.4,49
Austenitic,A (Resistant),A (Resistant),S30100,20,8.5,9,90.3
Austenitic,A (Resistant),A (Resistant),S30100,Boiling,7.9,2.6,78
Austenitic,A (Resistant),A (Resistant),S30200,20,5.5,6.3,29
Austenitic,A (Resistant),A (Resistant),S30200,Boiling,6.6,0.4,52.6
Austenitic,A (Resistant),A (Resistant),S30300,20,8.5,3.9,90.9
Austenitic,A (Resistant),A (Resistant),S30300,20,5.2,2.9,23.8
Austenitic,A (Resistant),A (Resistant),S30300,Boiling,8.8,2.3,96.9
Austenitic,A (Resistant),A (Resistant),S30300,Boiling,7.7,6.4,74.3
Austenitic,A (Resistant),A (Resistant),S30400,20,7.5,1.3,70.5
Austenitic,A (Resistant),A (Resistant),S30400,Boiling,6.1,8.6,41.6
Austenitic,0.003,0.1,S30400,52-54,6,6.6,39.9
Austenitic,0.003 max,0.1 max,S30400,80,8.8,7.1,95.4
Austenitic,39,1570,S30400,60-85,6.2,9.4,43.9
Austenitic,0.035,1.4,S30400,142,8.1,9.4,82
Austenitic,0.035,1.4,S30400,142,6.6,5.5,51.4
Nickel,3,120,N02200,80,1,5,31.1
Austenitic,0.003 max,0.1 max,S30400,Room,5,3.4,20.9
Austenitic,A (Resistant),A (Resistant),S30403,20,7.2,7.2,63.5
Austenitic,A (Resistant),A (Resistant),S30403,Boiling,8.9,5.4,98.1
Austenitic,A (Resistant),A (Resistant),S30453,20,6.5,9.3,49.5
Austenitic,A (Resistant),A (Resistant),S30453,Boiling,6.4,2.4,48.6
Austenitic,A (Resistant),A (Resistant),S31600,20,6.4,3.1,47.5
Austenitic,A (Resistant),A (Resistant),S31600,Boiling,7.1,3.2,61.6
Austenitic,0.1,0.003 0.1,S31600,52-54,6.8,8.1,55.3
Austenitic,0.003 max,0.1 max,S31600,80,8.5,1,90.4
Austenitic,32,1260,S31600,60-85,7,4.6,60.4
Austenitic,0.02,0.8,S31600,142,7,4.3,60.6
Austenitic,0.003 max,0.1 max,S31600,Room,5.6,0.7,31.1
Austenitic,A (Resistant),A (Resistant),S31620,20,8.9,4.1,98.6
Austenitic,A (Resistant),A (Resistant),S31620,Boiling,6,5.1,40
Austenitic,A (Resistant),A (Resistant),S31603,20,5.3,0.7,25.9
Austenitic,A (Resistant),A (Resistant),S31603,Boiling,7.7,5.1,73.1
Austenitic,A (Resistant),A (Resistant),S31653,20,7.4,9.6,67.6
Austenitic,A (Resistant),A (Resistant),S31653,Boiling,6.7,9.8,53.2
Austenitic,A (Resistant),A (Resistant),S31635,20,6.7,5.3,53.8
Austenitic,A (Resistant),A (Resistant),S31635,Boiling,8.1,5.2,82.8
Austenitic,A (Resistant),A (Resistant),S31703,20,5.8,2.9,35.7
Austenitic,A (Resistant),A (Resistant),S31703,Boiling,8.3,10,85.6
Austenitic,A (Resistant),A (Resistant),S31725,20,7.6,2.7,71.9
Austenitic,A (Resistant),A (Resistant),S31725,Boiling,6.7,4.5,53.5
Austenitic,A (Resistant),A (Resistant),S32100,20,6.8,0,56.6
Austenitic,A (Resistant),A (Resistant),S32100,Boiling,6,3.5,40.5
Austenitic,A (Resistant),A (Resistant),S34700,20,8,0.7,80.2
Austenitic,A (Resistant),A (Resistant),S34700,Boiling,7.1,7.4,61
Duplex,A (Resistant),A (Resistant),S32900,20,6.3,5.6,45.7
Duplex,A (Resistant),A (Resistant),S32900,Boiling,7.4,5.7,67.7
Duplex,A (Resistant),A (Resistant),S31803,20,9,2.9,99.7
Duplex,A (Resistant),A (Resistant),S31803,Boiling,6.7,8.1,54.8
Ferritic,A (Resistant),A (Resistant),S40500,20,8.7,0,93.7
Ferritic,A (Resistant),A (Resistant),S40500,Boiling,6.4,3.3,47.6
